asv id,latitude,longitude,name,desc,color,source,precision
264,46.88018,7.460581,"Wald, Switzerland","Wald, BERN - BERNE, CH",,MapQuest,city/town
265,47.22692,8.824546,"Rapperswil, Switzerland","Rapperswil-Jona, ST. GALLEN, CH",,MapQuest,city/town
266,47.26942,8.64259,"Meilen, Switzerland","Meilen, ZURICH, CH",,MapQuest,city/town
267,47.260692,8.597683,"Horgen, Switzerland","Horgen, ZURICH, CH",,MapQuest,city/town
268,47.039177,8.783416,"Oberiberg, Switzerland","Oberiberg, Schwyz, SCHWYZ, CH",,MapQuest,city/town
269,47.243488,8.46367,"Mettmenstetten, Switzerland","Mettmenstetten, ZURICH, CH",,MapQuest,city/town
270,47.275661,8.337783,"Muri, Switzerland","Muri, ARGOVIA, CH",,MapQuest,city/town
271,47.253968,8.182824,"Reinach, Switzerland","Reinach, ARGOVIA, CH",,MapQuest,city/town
272,47.207637,8.192439,"Beromünster, Switzerland","Beromünster, LUZERN, CH",,MapQuest,city/town
273,47.135911,8.191616,"Sempach, Switzerland","Sempach, LUZERN, CH",,MapQuest,city/town
274,47.166536,8.289971,"Hochdorf, Switzerland","Hochdorf, LUZERN, CH",,MapQuest,city/town
275,47.183174,8.461948,"Cham, Switzerland","Cham, ZUG, CH",,MapQuest,city/town
276,47.171581,8.519437,"Zug, Switzerland","Zug, ZUG, CH",,MapQuest,city/town
277,45.964336,8.910374,"Ägeri, Switzerland","Agra, TICINO, CH",,MapQuest,city/town
278,47.216704,8.608991,"Hirzel, Switzerland","Hirzel, ZURICH, CH",,MapQuest,city/town
279,47.192159,8.677586,"Samstagern, Switzerland","Samstagern, ZURICH, CH",,MapQuest,city/town
280,47.192383,8.852383,"Lachen, Switzerland","Lachen, SCHWYZ, CH",,MapQuest,city/town
281,47.152156,9.028029,"Bilten, Switzerland","Bilten, GLARUS, CH",,MapQuest,city/town
282,47.149632,9.141123,"Amden, Switzerland","Amden, ST. GALLEN, CH",,MapQuest,city/town
283,47.117211,9.150077,"Obstalden, Switzerland","Obstalden, GLARUS, CH",,MapQuest,city/town
284,47.123646,9.314992,"Wallenstadt, Switzerland","Walenstadt, ST. GALLEN, CH",,MapQuest,city/town
285,47.197238,9.315907,"Wildhaus, Switzerland","Wildhaus, ST. GALLEN, CH",,MapQuest,city/town
286,47.162763,9.476409,"Buchs, Switzerland","Buchs, ST. GALLEN, CH",,MapQuest,city/town
287,46.421903,6.927504,"Vaduz, Switzerland","Veytaux, VAUD, CH",,MapQuest,city/town
288,47.048815,9.439378,"Sargans, Switzerland","Sargans, ST. GALLEN, CH",,MapQuest,city/town
289,46.995494,9.071341,"Schwanden, Switzerland","Schwanden, GLARUS, CH",,MapQuest,city/town
290,47.042212,9.067404,"Glarus, Switzerland","Glarus, GLARUS, CH",,MapQuest,city/town
291,47.12861,8.75003,"Einsiedeln, Switzerland","Einsiedeln, Einsiedeln, SCHWYZ, CH",,MapQuest,city/town
292,47.104726,8.674844,"Rothenthurm, Switzerland","Rothenthurm, Schwyz, SCHWYZ, CH",,MapQuest,city/town
293,47.064455,8.523867,"Arth, Switzerland","Arth, Schwyz, SCHWYZ, CH",,MapQuest,city/town
294,47.114951,8.392331,"Root, Switzerland","Root, LUZERN, CH",,MapQuest,city/town
295,47.050545,8.305468,"Luzern, Switzerland","Lucerne, LUZERN, CH",,MapQuest,city/town
296,47.033975,8.437964,"Weggis, Switzerland","Weggis, LUZERN, CH",,MapQuest,city/town
297,47.021185,8.65356,"Schwyz, Switzerland","Schwyz, Schwyz, SCHWYZ, CH",,MapQuest,city/town
298,46.974668,8.765803,"Muotathal, Switzerland","Muotathal, Schwyz, SCHWYZ, CH",,MapQuest,city/town
299,46.9186,8.997365,"Linthal, Switzerland","Linthal, GLARUS, CH",,MapQuest,city/town
300,46.918888,9.17194,"Elm, Switzerland","Elm, GLARUS, CH",,MapQuest,city/town
301,46.989184,9.344335,"Weisstannen, Switzerland","Weisstannen, ST. GALLEN, CH",,MapQuest,city/town
302,47.007729,9.530923,"Maienfeld, Switzerland","Maienfeld, Landquart, GRAUBÜNDEN - GRIGIONI - GRISCHUN, CH",,MapQuest,city/town
303,46.968932,9.690048,"Schiers, Switzerland","Schiers, GRAUBÜNDEN - GRIGIONI - GRISCHUN, CH",,MapQuest,city/town
304,46.969343,9.814077,"St. Antönien, Switzerland","St. Antönien, GRAUBÜNDEN - GRIGIONI - GRISCHUN, CH",,MapQuest,city/town
305,46.87979,9.860831,"Klosters, Switzerland","Klosters, GRAUBÜNDEN - GRIGIONI - GRISCHUN, CH",,MapQuest,city/town
306,46.936996,9.566524,"Zizers, Switzerland","Zizers, Landquart, GRAUBÜNDEN - GRIGIONI - GRISCHUN, CH",,MapQuest,city/town
307,46.421903,6.927504,"Vättis, Switzerland","Veytaux, VAUD, CH",,MapQuest,city/town
308,46.863934,8.770358,"Unterschächen, Switzerland","Unterschächen, URI, CH",,MapQuest,city/town
309,46.886467,8.638399,"Altdorf, Switzerland","Altdorf, URI, CH",,MapQuest,city/town
